"Child_Bosse";"School";"Class";"Wave";"Gender";"Age";"GEN_Background_School";"GEN_Background_Grade";"GEN_Background_Class";"GEN_Background_Sex";"GEN_Background_Age";"GEN_Background_Nationality";"GEN_Background_Mom_Nationality";"GEN_Background_Mom_Nationality_other";"GEN_Background_Dad_Nationality";"GEN_Background_Dad_Nationality_other";"GEN_Background_Older_brother";"GEN_Background_Older_sister";"GEN_Background_Younger_brother";"GEN_Background_Younger_sister";"PA_Attitude_Attitude_PA1";"PA_Attitude_Attitude_PA2";"PA_Attitude_Attitude_PA3";"PA_Attitude_mean";"PA_descript_norms_PA_descript_norm_parents";"PA_descript_norms_PA_descript_norm_friends";"PA_injunct_norms_PA_norm_expect";"PA_injunct_norms_PA_injunct_norm_parents";"PA_injunct_norms_PA_injunct_norm_friends";"PA_Intentions_PA_intentions";"PA_intentions_Pa_Previous_Wave";"PA_motivation_PA_motiv_.intrin1";"PA_motivation_PA_motiv_.extrin1";"PA_motivation_PA_motiv_.intrin2";"PA_motivation_PA_motiv_.extrin2";"PA_motivation_PA_motiv_.intrin3";"PA_motivation_PA_motiv_.intrin4";"PA_motivation_PA_motiv_.extrin3";"PA_motivation_PA_motiv_.extrin4";"PA_Motivation_intrinsic_mean";"PA_Motivation_extrinsic_mean";"PA_Self.Efficacy_PA_SE1";"PA_Self.Efficacy_PA_SE2";"PA_OBIN_PA_OBIN";"PA_OBIN_PA_OBIN_friends_descriptive";"PA_OBIN_PA_OBIN_friends_injunctive";"PA_OBIN_PA_OBIN_parents_descriptive";"PA_OBIN_PA_OBIN_parents_injunctive";"PA_Athletic_competence_goed";"PA_Athletic_competence_nieuw";"PA_Athletic_competence_team";"PA_Athletic_competence_toekijken";"PA_Athletic_competence_intresse";"PA_Athletic_competence_hekel";"PA_Athletic_competence_slecht";"PA_Athletic_competence_winnen";"PA_Athletic_competence_beste";"PA_Athletic_competence_niet_zien";"Athletic_competence_mean";"PA_Enjoyment_PA_enjoy1";"PA_Enjoyment_PA_enjoy2";"PA_Enjoyment_PA_enjoy3";"PA_Enjoyment_PA_enjoy4";"PA_Enjoyment_PA_enjoy5";"PA_Enjoyment_PA_enjoy6";"PA_Enjoyment_PA_enjoy7";"PA_Enjoyment_PA_enjoy8";"PA_Enjoyment_PA_enjoy9";"PA_Enjoyment_PA_enjoy10";"PA_Enjoyment_PA_enjoy11";"PA_Enjoyment_PA_enjoy12";"PA_Enjoyment_PA_enjoy13";"PA_Enjoyment_PA_enjoy14";"PA_Enjoyment_PA_enjoy15";"PA_Enjoyment_PA_enjoy16";"Enjoyment_mean";"PA_Perceived_Benefits_PA_ben_hope1";"PA_Perceived_Benefits_PA_ben_hope2";"PA_Perceived_Benefits_PA_ben_fear1";"PA_Perceived_Benefits_PA_ben_fear2";"PA_Perceived_Benefits_PA_ben_hope3";"PA_Perceived_Benefits_PA_ben_hope4";"PA_Perceived_Benefits_PA_ben_fear3";"PA_Perceived_Benefits_PA_ben_fear4";"Perceived_Benefits_hope_mean";"Perceived_Benefits_fear_mean";"Perceived_Benefits_mean";"PA_Self.presentation_Motives_bewonderen";"PA_Self.presentation_Motives_talent";"PA_Self.presentation_Motives_respect";"PA_Self.presentation_Motives_uitzien";"PA_Self.presentation_Motives_fit";"PA_Self.presentation_Motives_vriendelijk";"PA_Self.presentation_Motives_aardig";"PA_Self.presentation_Motives_behulpzaam";"PA_Self.presentation_Motives_samenwerken";"Self_presentation_motives_mean";"PA_support_friends_compliment";"PA_support_friends_participate";"PA_support_friends_encourage";"PA_support_friends_refuse";"PA_support_friends_remind_not_inactive";"PA_support_friends_suggest_inactive";"PA_support_friends_time_inactive";"PA_support_friends_remind_active";"PA_support_friends_offer";"Support_friends_mean";"PA_support_parents_compliment";"PA_support_parents_participate";"PA_support_parents_encourage";"PA_support_parents_refuse";"PA_support_parents_remind_not_inactive";"PA_support_parents_suggest_inactive";"PA_support_parents_time_inactive";"PA_support_parents_remind_active";"PA_support_parents_offer";"Support_parents_mean";"PA_Habit_index_PA_habit1";"PA_Habit_index_PA_habit2";"PA_Habit_index_PA_habit3";"PA_Habit_index_PA_habit4";"PA_Habit_index_PA_habit5";"PA_Habit_index_PA_habit6";"PA_Habit_index_PA_habit7";"PA_Habit_index_PA_habit8";"PA_Habit_index_PA_habit9";"PA_Habit_index_PA_habit10";"PA_Habit_index_PA_habit11";"PA_Habit_index_PA_habit12";"Habit_mean";"PA_Perceiv_comp_PA_perceived_comp1";"PA_Perceiv_comp_PA_perceived_comp2";"PA_Perceiv_comp_PA_perceived_comp3";"PA_Perceiv_comp_PA_perceived_comp4";"Perceived_Competence_mean"
1939;31;97;4;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;NA;NA;NA;NA;NA;NA;NA;6;1;6;1;6;6;1;1;6;1;NA;NA;NA;NA;NA;NA;NA;6;5;6;1;6;5;6;5;6;3;4.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;5;4;5;5;5;4.25;4.5;4.38;6;6;4;5;5;5;5;5;5;5.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;5;6;5.5
1939;31;97;3;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;NA;NA;5;5;5;NA;NA;6;1;6;1;6;6;1;1;6;1;4;2;NA;NA;NA;NA;NA;6;5;6;1;6;5;6;5;6;3;4.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;5;4;5;5;5;4.25;4.5;4.38;6;6;4;5;5;5;5;5;5;5.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;5;6;6;3;6;4;6;5;4;6;5.17;6;5;5;6;5.5
1939;31;97;1;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;4;4;6;6;6;6;NA;6;1;6;1;6;6;1;1;6;1;5;6;3;3;4;1;5;6;5;6;1;6;5;6;5;6;3;4.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;5;4;5;5;5;4.25;4.5;4.38;6;6;4;5;5;5;5;5;5;5.11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;5;6;6;3;6;4;6;5;4;6;5.17;6;5;5;6;5.5
1940;31;97;1;1;12;1;NA;1;1;12;0;0;NA;0;NA;NA;NA;NA;NA;3;2;2;2.33;3;4;1;1;2;3;NA;4;1;4;6;5;4;1;1;4.25;2.25;2;1;3;2;0;2;1;4;4;5;1;5;5;3;2;4;5;3.8;5;5;4;4;4;3;5;2;3;4;4;5;3;3;3;4;3.81;5;5;2;2;2;4;3;3;4;2.5;3.25;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.33;2;2;4;5;3;5;3;3;1;3.11;4;4;5;5;5;5;5;5;2;5;5;5;4.58;5;5;2;2;3.5
1940;31;97;3;1;12;1;NA;1;1;12;0;0;NA;0;NA;NA;NA;NA;NA;4;3;3;3.33;5;4;3;5;4;1;3;5;4;6;4;5;4;3;4;5;3.75;4;3;NA;NA;NA;NA;NA;4;4;5;1;5;5;3;2;4;5;3.8;5;5;4;4;4;3;5;2;3;4;4;5;3;3;3;4;3.81;5;5;2;2;2;4;3;3;4;2.5;3.25;1;1;1;1;1;1;1;1;1;1;3;4;3;4;2;3;5;3;3;3.33;2;2;4;5;3;5;3;3;1;3.11;4;4;5;5;5;5;5;5;2;5;5;5;4.58;5;5;2;2;3.5
1940;31;97;2;1;12;1;NA;1;1;12;0;0;NA;0;NA;NA;NA;NA;NA;3;4;3;3.33;NA;NA;NA;NA;NA;3;3;4;3;4;2;4;5;1;2;4.25;2;4;3;6;NA;NA;NA;NA;4;4;5;1;5;5;3;2;4;5;3.8;5;5;4;4;4;3;5;2;3;4;4;5;3;3;3;4;3.81;5;5;2;2;2;4;3;3;4;2.5;3.25;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.33;2;2;4;5;3;5;3;3;1;3.11;4;4;5;5;5;5;5;5;2;5;5;5;4.58;5;5;2;2;3.5
1940;31;97;4;1;12;1;NA;1;1;12;0;0;NA;0;NA;NA;NA;NA;NA;4;4;3;3.67;3;4;3;4;1;4;1;6;2;6;1;6;6;2;1;6;1.5;5;4;6;2;2;6;2;4;4;5;1;5;5;3;2;4;5;3.8;5;5;4;4;4;3;5;2;3;4;4;5;3;3;3;4;3.81;5;5;2;2;2;4;3;3;4;2.5;3.25;1;1;1;1;1;1;1;1;1;1;3;3;2;3;2;5;5;2;1;2.89;2;2;4;5;3;5;3;3;1;3.11;6;5;6;5;3;6;6;6;6;6;5;2;5.17;5;5;2;2;3.5
1942;31;97;1;0;13;1;NA;1;0;13;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;3;5;3;3;4;3;4;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;4;2;2;5;3;6;3;3.56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1942;31;97;2;0;13;1;NA;1;0;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;5;4;6;4;6;NA;NA;3;5;6;4;6;4;5;5;4.75;4.75;4;6;7;6;5;3;4;4;4;3;3;5;3;3;4;3;4;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;4;2;2;5;3;6;3;3.56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1942;31;97;3;0;13;1;NA;1;0;13;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;3;5;3;3;4;3;4;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;4;2;2;5;3;6;3;3.56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1942;31;97;4;0;13;1;NA;1;0;13;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;3;5;3;3;4;3;4;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;4;2;2;5;3;6;3;3.56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;31;98;4;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;3;3;3;3;4;4;3;2;3.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;31;98;3;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;3;3;3;3;4;4;3;2;3.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;31;98;1;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;3;4;3;3;3;4;NA;4;2;4;2;4;4;1;1;4;1.5;4;3;7;7;0;7;0;1;5;3;3;3;3;4;4;3;2;3.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;31;98;2;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;3;2;3;2.67;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;7;NA;NA;NA;NA;1;5;3;3;3;3;4;4;3;2;3.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1982;31;99;1;0;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1982;31;99;2;0;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1982;31;99;3;0;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1982;31;99;4;0;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1994;31;99;3;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;3;3;3;1;1;NA;NA;6;1;6;1;6;6;1;1;6;1;6;6;NA;NA;NA;NA;NA;6;5;1;6;6;6;6;4;4;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;1;3;3;5;2;2;3.5;2;2.75;4;5;4;5;5;4;4;4;3;4.22;4;3;2;4;2;4;3;1;6;3.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;6;5;4;6;5;4;6;4;4;6;5.17;6;6;6;6;6
1994;31;99;2;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;NA;NA;NA;NA;NA;NA;1;6;1;6;1;6;6;5;1;6;2;6;6;7;NA;NA;NA;NA;6;5;1;6;6;6;6;4;4;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;1;3;3;5;2;2;3.5;2;2.75;4;5;4;5;5;4;4;4;3;4.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;6;5;4;6;5;4;6;4;4;6;5.17;6;6;6;6;6
1994;31;99;4;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;4;3;2;4;2;4;NA;6;1;6;1;6;6;1;1;6;1;3;6;7;0;0;9;9;6;5;1;6;6;6;6;4;4;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;1;3;3;5;2;2;3.5;2;2.75;4;5;4;5;5;4;4;4;3;4.22;1;3;3;1;4;5;4;1;2;2.67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;6;6;6;1;6;4;6;6;6;6;5.42;6;6;6;6;6
1994;31;99;1;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;4;3;3;1;1;1;NA;6;1;6;1;6;6;4;1;6;1.75;4;5;7;7;7;3;7;6;5;1;6;6;6;6;4;4;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;1;3;3;5;2;2;3.5;2;2.75;4;5;4;5;5;4;4;4;3;4.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;6;5;4;6;5;4;6;4;4;6;5.17;6;6;6;6;6
1995;31;99;1;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;4;4;4;4;4;5;3;4;1;5;NA;6;1;5;1;6;6;1;1;5.75;1;6;5;1;5;6;7;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;31;99;2;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;31;99;3;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;31;99;4;1;13;1;NA;1;1;13;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;31;99;2;1;13;1;NA;1;1;12;0;0;NA;0;NA;NA;NA;NA;NA;3;3;3;3;3;4;5;5;1;4;NA;3;4;5;4;5;4;3;3;4.25;3.5;4;2;7;6;4;4;5;4;3;2;1;2;5;4;4;2;3;3;4;3;5;5;5;3;4;3;4;4;4;5;4;3;4;3;3.94;3;4;2;4;4;2;2;2;3.25;2.5;2.88;4;4;2;4;3;3;4;3;4;3.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.44;3;1;3;6;4;3;3;2;2;3;2;1;1;1;1;3;1;1;2;1;2;2;1.5;5;4;4;4;4.25
1996;31;99;4;1;13;1;NA;1;1;12;0;0;NA;0;NA;NA;NA;NA;NA;2;3;2;2.33;2;2;2;4;2;1;2;2;1;3;1;4;4;1;2;3.25;1.25;2;2;4;2;2;3;2;4;3;2;1;2;5;4;4;2;3;3;4;3;5;5;5;3;4;3;4;4;4;5;4;3;4;3;3.94;3;4;2;4;4;2;2;2;3.25;2.5;2.88;4;4;2;4;3;3;4;3;4;3.44;1;3;2;5;1;2;2;1;1;2;3;1;3;6;4;3;3;2;2;3;3;1;1;1;1;1;1;1;1;1;1;2;1.25;5;4;4;4;4.25
1996;31;99;1;1;13;1;NA;1;1;12;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;2;1;2;5;4;4;2;3;3;4;3;5;5;5;3;4;3;4;4;4;5;4;3;4;3;3.94;3;4;2;4;4;2;2;2;3.25;2.5;2.88;4;4;2;4;3;3;4;3;4;3.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.44;3;1;3;6;4;3;3;2;2;3;2;1;1;1;1;3;1;1;2;1;2;2;1.5;5;4;4;4;4.25
1996;31;99;3;1;13;1;NA;1;1;12;0;0;NA;0;NA;NA;NA;NA;NA;3;3;2;2.67;4;4;4;5;4;2;4;4;1;4;2;5;4;1;2;4.25;1.5;4;3;NA;NA;NA;NA;NA;4;3;2;1;2;5;4;4;2;3;3;4;3;5;5;5;3;4;3;4;4;4;5;4;3;4;3;3.94;3;4;2;4;4;2;2;2;3.25;2.5;2.88;4;4;2;4;3;3;4;3;4;3.44;2;1;3;6;2;2;2;2;2;2.44;3;1;3;6;4;3;3;2;2;3;2;1;1;1;1;3;1;1;2;1;2;2;1.5;5;4;4;4;4.25
1999;31;99;1;1;12;1;NA;1;1;12;0;0;NA;0;NA;NA;NA;NA;NA;4;3;4;3.67;3;3;3;6;4;3;NA;5;1;6;1;6;6;1;1;5.75;1;6;5;3;2;3;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
